index,x,y,x_end,y_end
output/img93.jpg,39,13,389,363
output/img94.jpg,41,13,391,363
output/img95.jpg,44,11,394,361
output/img96.jpg,45,27,345,327
output/img97.jpg,45,33,395,383
output/img98.jpg,46,20,396,370
output/img99.jpg,46,249,96,299
output/img100.jpg,47,186,247,386
output/img101.jpg,47,224,197,374
output/img102.jpg,48,102,298,352
output/img103.jpg,48,8,398,358
output/img104.jpg,50,144,300,394
output/img105.jpg,50,40,250,240
output/img106.jpg,50,4,350,304
output/img107.jpg,50,81,300,331
output/img108.jpg,51,88,351,388
output/img109.jpg,52,50,302,300
output/img110.jpg,52,52,252,252
output/img111.jpg,54,100,254,300
output/img112.jpg,54,83,304,333
output/img113.jpg,56,27,206,177
output/img114.jpg,59,131,109,181
output/img115.jpg,5,27,305,327
output/img116.jpg,61,174,261,374
output/img117.jpg,61,59,361,359
output/img118.jpg,62,96,362,396
output/img119.jpg,64,18,364,318
output/img120.jpg,64,30,364,330
output/img121.jpg,64,33,364,333
output/img122.jpg,65,41,215,191
output/img123.jpg,71,149,321,399
output/img124.jpg,71,66,371,366
output/img125.jpg,73,48,373,348
output/img126.jpg,74,62,174,162
output/img127.jpg,78,6,378,306
output/img128.jpg,7,37,357,387
output/img129.jpg,80,120,330,370
output/img130.jpg,81,19,281,219
output/img131.jpg,84,88,384,388
output/img132.jpg,88,25,288,225
output/img133.jpg,8,28,358,378
output/img134.jpg,8,2,108,102
output/img135.jpg,8,40,358,390
output/img136.jpg,8,8,358,358
output/img137.jpg,95,23,245,173
output/img138.jpg,9,60,159,210
output/img139.jpg,9,76,309,376
output/img140.jpg,0,104,250,354
output/img141.jpg,101,32,251,182
output/img142.jpg,102,137,252,287
output/img143.jpg,105,140,305,340
output/img144.jpg,107,100,307,300
output/img145.jpg,107,160,207,260
output/img146.jpg,107,27,307,227
output/img147.jpg,107,87,307,287
output/img148.jpg,109,47,359,297
output/img149.jpg,10,0,360,350
output/img150.jpg,10,13,260,263
output/img151.jpg,113,125,313,325
output/img152.jpg,114,93,264,243
output/img153.jpg,115,259,215,359
output/img154.jpg,11,242,61,292
output/img155.jpg,120,80,370,330
output/img156.jpg,122,63,222,163
output/img157.jpg,124,163,274,313
output/img158.jpg,125,64,375,314
output/img159.jpg,126,264,226,364
output/img160.jpg,127,200,227,300
output/img161.jpg,127,90,277,240
output/img162.jpg,12,210,162,360
output/img163.jpg,130,173,280,323
output/img164.jpg,131,90,331,290
output/img165.jpg,133,77,383,327
output/img166.jpg,138,11,288,161
output/img167.jpg,141,174,191,224
output/img168.jpg,142,153,192,203
output/img169.jpg,143,95,393,345
output/img170.jpg,144,116,344,316
output/img171.jpg,144,62,394,312
output/img172.jpg,145,112,195,162
output/img173.jpg,147,194,197,244
output/img174.jpg,148,162,248,262
output/img175.jpg,148,4,398,254
output/img176.jpg,14,20,314,320
output/img177.jpg,14,232,164,382
output/img178.jpg,14,65,214,265
output/img179.jpg,159,115,259,215
output/img180.jpg,15,1,365,351
output/img181.jpg,15,41,365,391
output/img182.jpg,161,11,361,211
output/img183.jpg,172,217,322,367
output/img184.jpg,172,62,222,112
output/img185.jpg,174,120,324,270
output/img186.jpg,178,45,378,245
output/img187.jpg,179,73,379,273
output/img188.jpg,17,14,367,364
output/img189.jpg,180,29,380,229
output/img190.jpg,181,220,281,320
output/img191.jpg,183,77,283,177
output/img192.jpg,186,107,386,307
output/img193.jpg,195,27,395,227
output/img194.jpg,19,129,219,329
output/img195.jpg,1,33,351,383
output/img196.jpg,1,72,301,372
output/img197.jpg,1,98,301,398
output/img198.jpg,201,227,251,277
output/img199.jpg,202,89,302,189
output/img200.jpg,206,230,256,280
output/img201.jpg,20,46,370,396
output/img202.jpg,20,46,370,396
output/img203.jpg,225,340,275,390
output/img204.jpg,231,206,331,306
output/img205.jpg,231,6,331,106
output/img206.jpg,233,148,383,298
output/img207.jpg,23,94,323,394
output/img208.jpg,240,62,340,162
output/img209.jpg,244,111,394,261
output/img210.jpg,248,264,348,364
output/img211.jpg,24,36,374,386
output/img212.jpg,24,56,274,306
output/img213.jpg,25,92,325,392
output/img214.jpg,26,39,376,389
output/img215.jpg,26,60,326,360
output/img216.jpg,271,162,321,212
output/img217.jpg,278,209,328,259
output/img218.jpg,28,26,278,276
output/img219.jpg,297,147,347,197
output/img220.jpg,2,159,152,309
output/img221.jpg,30,7,380,357
output/img222.jpg,316,98,366,148
output/img223.jpg,32,90,332,390
output/img224.jpg,338,154,388,204
output/img225.jpg,342,109,392,159
output/img226.jpg,342,19,392,69
output/img227.jpg,34,89,234,289
output/img228.jpg,36,122,286,372
output/img229.jpg,36,49,386,399
output/img230.jpg,37,106,187,256
output/img231.jpg,37,23,387,373
output/img232.jpg,38,55,338,355
output/img233.jpg,40,49,340,349
output/img234.jpg,41,265,141,365
output/img235.jpg,41,26,141,126
output/img236.jpg,41,7,391,357
output/img237.jpg,41,83,341,383
output/img238.jpg,42,143,292,393
output/img239.jpg,43,8,343,308
output/img240.jpg,46,13,346,313
output/img241.jpg,46,23,96,73
output/img242.jpg,46,29,396,379
output/img243.jpg,48,205,98,255
output/img244.jpg,49,117,199,267
output/img245.jpg,49,11,399,361
output/img246.jpg,50,58,350,358
output/img247.jpg,50,86,150,186
output/img248.jpg,56,75,356,375
output/img249.jpg,58,165,158,265
output/img250.jpg,59,239,209,389
output/img251.jpg,59,67,309,317
output/img252.jpg,5,12,355,362
output/img253.jpg,5,37,355,387
output/img254.jpg,5,6,355,356
output/img255.jpg,60,15,360,315
output/img256.jpg,60,238,160,338
output/img257.jpg,60,66,310,316
output/img258.jpg,63,81,263,281
output/img259.jpg,66,41,316,291
output/img260.jpg,67,29,317,279
output/img261.jpg,6,35,356,385
output/img262.jpg,6,82,106,182
output/img263.jpg,70,210,220,360
output/img264.jpg,72,78,322,328
output/img265.jpg,74,144,324,394
output/img266.jpg,76,46,376,346
output/img267.jpg,77,94,377,394
output/img268.jpg,78,88,278,288
output/img269.jpg,7,10,357,360
output/img270.jpg,80,51,380,351
output/img271.jpg,80,64,330,314
output/img272.jpg,81,62,381,362
output/img273.jpg,84,333,134,383
output/img274.jpg,89,71,289,271
output/img275.jpg,92,329,142,379
output/img276.jpg,92,59,292,259
output/img277.jpg,93,18,393,318
output/img278.jpg,94,207,244,357
output/img279.jpg,9,200,159,350
